,Model,Model Type,Flops,Framework,Device,Average Time,Std Time
0,faster_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,5297.89,97.4661666938838
1,faster_rcnn_inception_resnet_v2_atrous_lowproposals_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1571.138,290.95540967646565
2,faster_rcnn_inception_resnet_v2_atrous_lowproposals_oid_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1373.168,37.251999543648594
3,faster_rcnn_inception_resnet_v2_atrous_oid_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,5228.228,227.65067662978726
4,faster_rcnn_inception_v2_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,171.185,10.20107717351457
5,faster_rcnn_nas_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16365.24,246.57781327605323
6,faster_rcnn_nas_lowproposals_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,3554.362,76.70825881220345
7,faster_rcnn_resnet101_ava_v2.1_2018_04_30,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,756.0284,13.237729386114555
8,faster_rcnn_resnet101_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,763.334,40.858009967447025
9,faster_rcnn_resnet101_kitti_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,782.7218,29.140801270726925
10,faster_rcnn_resnet101_lowproposals_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,389.1354,16.778362756836565
11,faster_rcnn_resnet50_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,656.3152,34.06910283086423
12,faster_rcnn_resnet50_lowproposals_coco_2018_01_28,Faster R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,247.6962,25.38946072093695
13,mask_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,Mask R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8167.65,214.64968774726916
14,mask_rcnn_inception_v2_coco_2018_01_28,Mask R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,716.3004,42.328083281670104
15,mask_rcnn_resnet101_atrous_coco_2018_01_28,Mask R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,7218.07,297.6952825457603
16,mask_rcnn_resnet50_atrous_coco_2018_01_28,Mask R-CNN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,6022.406,246.65431321993933
17,rfcn_resnet101_coco_2018_01_28,R-FCN,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,461.7846,11.091181059742935
18,ssdlite_mobilenet_v2_coco_2018_05_09,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8.235,0.6837202205580876
19,ssd_inception_v2_coco_2018_01_28,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,32.82294,5.182516486515021
20,ssd_mobilenet_v1_0.75_depth_300x300_coco14_sync_2018_07_03,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,7.10526,1.3053990569936844
21,ssd_mobilenet_v1_coco_2018_01_28,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,9.686,1.4399910190692167
22,ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,380.1088,20.787418519383305
23,ssd_mobilenet_v1_ppn_shared_box_predictor_300x300_coco14_sync_2018_07_03,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,12.127040000000001,2.9677386261259597
24,ssd_mobilenet_v2_coco_2018_03_29,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,14.84976,1.2703429214192519
25,ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,SSD,0.0,Openvino 2020.2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,511.9016,17.569793291328168
